,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
51,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,8,1,10,9,6,6,0,6,5,6,5,0,10,4,2,1,51,dikesnet
52,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,3,0,0,6,8,0,9,8,0,8,3,8,10,9,4,0,53,dikesnet
53,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,3,0,0,6,8,0,9,8,0,8,3,8,10,9,4,1,53,dikesnet
54,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,8,0,6,7,10,2,10,7,1,2,8,4,8,4,3,0,57,dikesnet
55,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,8,0,6,7,10,2,10,7,1,2,8,4,8,4,3,1,57,dikesnet
56,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,8,3,10,7,0,6,4,4,7,5,0,7,0,1,7,0,59,dikesnet
57,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,8,3,10,7,0,6,4,4,7,5,0,7,0,1,7,1,59,dikesnet
58,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,4,6,1,4,0,3,6,6,4,7,6,7,7,3,1,2,0,64,dikesnet
59,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,4,6,1,4,0,3,6,6,4,7,6,7,7,3,1,2,1,64,dikesnet
60,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,3,8,2,6,3,5,4,0,8,1,9,5,8,3,0,6,0,66,dikesnet
