,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
41,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,2,1,7,4,9,2,9,0,3,7,0,10,8,10,8,1,43,dikesnet
42,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,7,0,0,5,4,10,6,8,5,9,5,2,5,8,7,0,44,dikesnet
43,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,7,0,0,5,4,10,6,8,5,9,5,2,5,8,7,1,44,dikesnet
44,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,3,3,2,8,10,4,6,9,3,5,7,7,2,0,2,1,0,45,dikesnet
45,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,3,3,2,8,10,4,6,9,3,5,7,7,2,0,2,1,1,45,dikesnet
46,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,3,1,3,8,4,4,5,10,6,7,8,2,9,5,0,7,0,49,dikesnet
47,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,3,1,3,8,4,4,5,10,6,7,8,2,9,5,0,7,1,49,dikesnet
48,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,4,1,2,6,3,1,7,1,10,3,0,8,4,0,10,10,0,50,dikesnet
49,50,317.61550530824746,10,0.4050564960531759,86.56298552835894,10,0.09904434343485241,272.5006083828939,10,0.9397030376625659,342.229114361558,1.0,0.6666373350851547,93.60680158831073,10,0.5091647421142484,1.5,2.5,1.5,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,4,1,2,6,3,1,7,1,10,3,0,8,4,0,10,10,1,50,dikesnet
50,104,153.14569361661552,1.0,0.836952975485637,211.2380591224936,1.0,0.9736868123971272,49.33278687799428,1.5,0.4234526378507996,87.03177407904606,1.5,0.4584419706252736,340.50317628902707,1.5,0.1707668224452914,3.5,3.5,3.5,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,8,1,10,9,6,6,0,6,5,6,5,0,10,4,2,0,51,dikesnet
