,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2
887,25,40.77065001570436,1.0,0.7425903457299553,98.4104413475856,1.0,0.0672494599671513,209.66845759399916,10.0,0.7198023049554424,45.128570115173034,1.0,0.0008209644595831313,135.08317913632814,10.0,0.15647621485682348,4.5,2.5,1.5
2476,45,117.17628391165087,1.0,0.9461477584987544,132.55975353937464,1.5,0.4124806050002195,304.4180949100032,1.5,0.65298964724963,249.0339683814581,1.5,0.4734112947839278,243.5492863323291,1.0,0.03373290823205435,1.5,3.5,2.5
863,23,68.67637472151199,10.0,0.8022607043016273,140.82428406024562,10.0,0.7615611397405865,265.6624285747791,1.5,0.0038899484019739032,294.05284088195174,10.0,0.2693974151063806,42.53537353590975,1.0,0.3893474385781483,1.5,2.5,2.5
