,Unnamed: 0,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
1615,1615,4,124.8289419384729,1.5,0.9801307584092888,310.8599937391356,1.5,0.2437294193002248,276.4167808265486,1.0,0.8351183055357406,77.28847704705524,1.5,0.0986037743772394,139.9040991318697,1.5,0.1238392235677178,1.5,1.5,4.5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,15,16,dikesnet
1636,1636,109,223.70458468504543,1.5,0.5268104858089361,180.34053796252124,10.0,0.632969710020517,270.9188487210933,10.0,0.4384846264725698,246.5680339115808,1.0,0.3193267417282813,304.8324331718113,1.0,0.0140541075303873,2.5,2.5,3.5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,36,16,dikesnet
1644,1644,104,239.95183662185588,1.0,0.3479382860445851,129.34918679501834,1.5,0.6895599699730994,121.85369413612122,10.0,0.3149498024584549,85.26849083752737,1.0,0.2055614582658389,284.0476781997335,1.5,0.0652523763670135,1.5,1.5,4.5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,44,16,dikesnet
1649,1649,16,111.36757532292933,10.0,0.4376552084756751,170.64368235381613,10.0,0.5060301729344391,37.01995865417004,1.5,0.4874733980712616,146.58887475866825,10.0,0.1795183410767715,191.77821468773604,1.0,0.1310476390699853,4.5,4.5,1.5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,49,16,dikesnet
1660,1660,12,147.19689127275782,10.0,0.7054739508709972,340.2239686180633,10.0,0.7714898134707703,312.13011619131555,10.0,0.0494543336733424,176.48631583810638,10.0,0.0703709742316159,324.6792865749088,1.5,0.0258159519480821,2.5,3.5,2.5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,60,16,dikesnet
1672,1672,35,235.2297888300525,10.0,0.6691678438004242,244.71723796042343,1.0,0.7560126609904901,108.0736201100414,1.0,0.6489527744207327,89.3586288268483,10.0,0.3775784563408456,131.4633619153621,10.0,0.2175514649676347,3.5,3.5,3.5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,72,16,dikesnet
1676,1676,45,117.17628391165088,1.0,0.9461477584987544,132.55975353937464,1.5,0.4124806050002195,304.4180949100032,1.5,0.65298964724963,249.03396838145807,1.5,0.4734112947839278,243.54928633232907,1.0,0.0337329082320543,1.5,3.5,2.5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,76,16,dikesnet
1682,1682,73,259.7359376738376,10.0,0.8176652015742627,143.90451493979538,10.0,0.9870545069878206,131.77177252741558,10.0,0.2225826349666239,183.68862697572,1.5,0.1241338654431264,253.66095359604788,1.5,0.0555393800992334,3.5,4.5,1.5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,82,16,dikesnet
1689,1689,110,229.3768594087568,1.0,0.5720042176398842,76.93713626202617,1.5,0.7880282644633927,196.00820996224743,1.0,0.3999996024293774,113.68505467986564,1.0,0.3865216651124148,181.02458483934944,1.5,0.2670772043511434,2.5,3.5,4.5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,89,16,dikesnet
1715,1715,4,124.8289419384729,1.5,0.9801307584092888,310.8599937391356,1.5,0.2437294193002248,276.4167808265486,1.0,0.8351183055357406,77.28847704705524,1.5,0.0986037743772394,139.9040991318697,1.5,0.1238392235677178,1.5,1.5,4.5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,15,17,dikesnet
1736,1736,109,223.70458468504543,1.5,0.5268104858089361,180.34053796252124,10.0,0.632969710020517,270.9188487210933,10.0,0.4384846264725698,246.5680339115808,1.0,0.3193267417282813,304.8324331718113,1.0,0.0140541075303873,2.5,2.5,3.5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,36,17,dikesnet
1744,1744,104,239.95183662185588,1.0,0.3479382860445851,129.34918679501834,1.5,0.6895599699730994,121.85369413612122,10.0,0.3149498024584549,85.26849083752737,1.0,0.2055614582658389,284.0476781997335,1.5,0.0652523763670135,1.5,1.5,4.5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,44,17,dikesnet
1749,1749,16,111.36757532292933,10.0,0.4376552084756751,170.64368235381613,10.0,0.5060301729344391,37.01995865417004,1.5,0.4874733980712616,146.58887475866825,10.0,0.1795183410767715,191.77821468773604,1.0,0.1310476390699853,4.5,4.5,1.5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,49,17,dikesnet
1760,1760,12,147.19689127275782,10.0,0.7054739508709972,340.2239686180633,10.0,0.7714898134707703,312.13011619131555,10.0,0.0494543336733424,176.48631583810638,10.0,0.0703709742316159,324.6792865749088,1.5,0.0258159519480821,2.5,3.5,2.5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,60,17,dikesnet
1772,1772,35,235.2297888300525,10.0,0.6691678438004242,244.71723796042343,1.0,0.7560126609904901,108.0736201100414,1.0,0.6489527744207327,89.3586288268483,10.0,0.3775784563408456,131.4633619153621,10.0,0.2175514649676347,3.5,3.5,3.5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,72,17,dikesnet
1776,1776,45,117.17628391165088,1.0,0.9461477584987544,132.55975353937464,1.5,0.4124806050002195,304.4180949100032,1.5,0.65298964724963,249.03396838145807,1.5,0.4734112947839278,243.54928633232907,1.0,0.0337329082320543,1.5,3.5,2.5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,76,17,dikesnet
1782,1782,73,259.7359376738376,10.0,0.8176652015742627,143.90451493979538,10.0,0.9870545069878206,131.77177252741558,10.0,0.2225826349666239,183.68862697572,1.5,0.1241338654431264,253.66095359604788,1.5,0.0555393800992334,3.5,4.5,1.5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,82,17,dikesnet
1789,1789,110,229.3768594087568,1.0,0.5720042176398842,76.93713626202617,1.5,0.7880282644633927,196.00820996224743,1.0,0.3999996024293774,113.68505467986564,1.0,0.3865216651124148,181.02458483934944,1.5,0.2670772043511434,2.5,3.5,4.5,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,89,17,dikesnet
1815,1815,4,124.8289419384729,1.5,0.9801307584092888,310.8599937391356,1.5,0.2437294193002248,276.4167808265486,1.0,0.8351183055357406,77.28847704705524,1.5,0.0986037743772394,139.9040991318697,1.5,0.1238392235677178,1.5,1.5,4.5,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,15,18,dikesnet
1836,1836,109,223.70458468504543,1.5,0.5268104858089361,180.34053796252124,10.0,0.632969710020517,270.9188487210933,10.0,0.4384846264725698,246.5680339115808,1.0,0.3193267417282813,304.8324331718113,1.0,0.0140541075303873,2.5,2.5,3.5,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,36,18,dikesnet
1844,1844,104,239.95183662185588,1.0,0.3479382860445851,129.34918679501834,1.5,0.6895599699730994,121.85369413612122,10.0,0.3149498024584549,85.26849083752737,1.0,0.2055614582658389,284.0476781997335,1.5,0.0652523763670135,1.5,1.5,4.5,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,44,18,dikesnet
1849,1849,16,111.36757532292933,10.0,0.4376552084756751,170.64368235381613,10.0,0.5060301729344391,37.01995865417004,1.5,0.4874733980712616,146.58887475866825,10.0,0.1795183410767715,191.77821468773604,1.0,0.1310476390699853,4.5,4.5,1.5,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,49,18,dikesnet
1860,1860,12,147.19689127275782,10.0,0.7054739508709972,340.2239686180633,10.0,0.7714898134707703,312.13011619131555,10.0,0.0494543336733424,176.48631583810638,10.0,0.0703709742316159,324.6792865749088,1.5,0.0258159519480821,2.5,3.5,2.5,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,60,18,dikesnet
1872,1872,35,235.2297888300525,10.0,0.6691678438004242,244.71723796042343,1.0,0.7560126609904901,108.0736201100414,1.0,0.6489527744207327,89.3586288268483,10.0,0.3775784563408456,131.4633619153621,10.0,0.2175514649676347,3.5,3.5,3.5,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,72,18,dikesnet
1876,1876,45,117.17628391165088,1.0,0.9461477584987544,132.55975353937464,1.5,0.4124806050002195,304.4180949100032,1.5,0.65298964724963,249.03396838145807,1.5,0.4734112947839278,243.54928633232907,1.0,0.0337329082320543,1.5,3.5,2.5,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,76,18,dikesnet
1882,1882,73,259.7359376738376,10.0,0.8176652015742627,143.90451493979538,10.0,0.9870545069878206,131.77177252741558,10.0,0.2225826349666239,183.68862697572,1.5,0.1241338654431264,253.66095359604788,1.5,0.0555393800992334,3.5,4.5,1.5,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,82,18,dikesnet
1889,1889,110,229.3768594087568,1.0,0.5720042176398842,76.93713626202617,1.5,0.7880282644633927,196.00820996224743,1.0,0.3999996024293774,113.68505467986564,1.0,0.3865216651124148,181.02458483934944,1.5,0.2670772043511434,2.5,3.5,4.5,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,89,18,dikesnet
1915,1915,4,124.8289419384729,1.5,0.9801307584092888,310.8599937391356,1.5,0.2437294193002248,276.4167808265486,1.0,0.8351183055357406,77.28847704705524,1.5,0.0986037743772394,139.9040991318697,1.5,0.1238392235677178,1.5,1.5,4.5,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,15,19,dikesnet
1936,1936,109,223.70458468504543,1.5,0.5268104858089361,180.34053796252124,10.0,0.632969710020517,270.9188487210933,10.0,0.4384846264725698,246.5680339115808,1.0,0.3193267417282813,304.8324331718113,1.0,0.0140541075303873,2.5,2.5,3.5,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,36,19,dikesnet
1944,1944,104,239.95183662185588,1.0,0.3479382860445851,129.34918679501834,1.5,0.6895599699730994,121.85369413612122,10.0,0.3149498024584549,85.26849083752737,1.0,0.2055614582658389,284.0476781997335,1.5,0.0652523763670135,1.5,1.5,4.5,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,44,19,dikesnet
1949,1949,16,111.36757532292933,10.0,0.4376552084756751,170.64368235381613,10.0,0.5060301729344391,37.01995865417004,1.5,0.4874733980712616,146.58887475866825,10.0,0.1795183410767715,191.77821468773604,1.0,0.1310476390699853,4.5,4.5,1.5,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,49,19,dikesnet
1960,1960,12,147.19689127275782,10.0,0.7054739508709972,340.2239686180633,10.0,0.7714898134707703,312.13011619131555,10.0,0.0494543336733424,176.48631583810638,10.0,0.0703709742316159,324.6792865749088,1.5,0.0258159519480821,2.5,3.5,2.5,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,60,19,dikesnet
1972,1972,35,235.2297888300525,10.0,0.6691678438004242,244.71723796042343,1.0,0.7560126609904901,108.0736201100414,1.0,0.6489527744207327,89.3586288268483,10.0,0.3775784563408456,131.4633619153621,10.0,0.2175514649676347,3.5,3.5,3.5,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,72,19,dikesnet
1976,1976,45,117.17628391165088,1.0,0.9461477584987544,132.55975353937464,1.5,0.4124806050002195,304.4180949100032,1.5,0.65298964724963,249.03396838145807,1.5,0.4734112947839278,243.54928633232907,1.0,0.0337329082320543,1.5,3.5,2.5,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,76,19,dikesnet
1982,1982,73,259.7359376738376,10.0,0.8176652015742627,143.90451493979538,10.0,0.9870545069878206,131.77177252741558,10.0,0.2225826349666239,183.68862697572,1.5,0.1241338654431264,253.66095359604788,1.5,0.0555393800992334,3.5,4.5,1.5,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,82,19,dikesnet
1989,1989,110,229.3768594087568,1.0,0.5720042176398842,76.93713626202617,1.5,0.7880282644633927,196.00820996224743,1.0,0.3999996024293774,113.68505467986564,1.0,0.3865216651124148,181.02458483934944,1.5,0.2670772043511434,2.5,3.5,4.5,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,89,19,dikesnet
2015,2015,4,124.8289419384729,1.5,0.9801307584092888,310.8599937391356,1.5,0.2437294193002248,276.4167808265486,1.0,0.8351183055357406,77.28847704705524,1.5,0.0986037743772394,139.9040991318697,1.5,0.1238392235677178,1.5,1.5,4.5,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,20,dikesnet
2036,2036,109,223.70458468504543,1.5,0.5268104858089361,180.34053796252124,10.0,0.632969710020517,270.9188487210933,10.0,0.4384846264725698,246.5680339115808,1.0,0.3193267417282813,304.8324331718113,1.0,0.0140541075303873,2.5,2.5,3.5,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,36,20,dikesnet
2044,2044,104,239.95183662185588,1.0,0.3479382860445851,129.34918679501834,1.5,0.6895599699730994,121.85369413612122,10.0,0.3149498024584549,85.26849083752737,1.0,0.2055614582658389,284.0476781997335,1.5,0.0652523763670135,1.5,1.5,4.5,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,44,20,dikesnet
2049,2049,16,111.36757532292933,10.0,0.4376552084756751,170.64368235381613,10.0,0.5060301729344391,37.01995865417004,1.5,0.4874733980712616,146.58887475866825,10.0,0.1795183410767715,191.77821468773604,1.0,0.1310476390699853,4.5,4.5,1.5,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,49,20,dikesnet
2060,2060,12,147.19689127275782,10.0,0.7054739508709972,340.2239686180633,10.0,0.7714898134707703,312.13011619131555,10.0,0.0494543336733424,176.48631583810638,10.0,0.0703709742316159,324.6792865749088,1.5,0.0258159519480821,2.5,3.5,2.5,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,60,20,dikesnet
2072,2072,35,235.2297888300525,10.0,0.6691678438004242,244.71723796042343,1.0,0.7560126609904901,108.0736201100414,1.0,0.6489527744207327,89.3586288268483,10.0,0.3775784563408456,131.4633619153621,10.0,0.2175514649676347,3.5,3.5,3.5,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,72,20,dikesnet
2076,2076,45,117.17628391165088,1.0,0.9461477584987544,132.55975353937464,1.5,0.4124806050002195,304.4180949100032,1.5,0.65298964724963,249.03396838145807,1.5,0.4734112947839278,243.54928633232907,1.0,0.0337329082320543,1.5,3.5,2.5,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,76,20,dikesnet
2082,2082,73,259.7359376738376,10.0,0.8176652015742627,143.90451493979538,10.0,0.9870545069878206,131.77177252741558,10.0,0.2225826349666239,183.68862697572,1.5,0.1241338654431264,253.66095359604788,1.5,0.0555393800992334,3.5,4.5,1.5,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,82,20,dikesnet
2089,2089,110,229.3768594087568,1.0,0.5720042176398842,76.93713626202617,1.5,0.7880282644633927,196.00820996224743,1.0,0.3999996024293774,113.68505467986564,1.0,0.3865216651124148,181.02458483934944,1.5,0.2670772043511434,2.5,3.5,4.5,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,89,20,dikesnet
2115,2115,4,124.8289419384729,1.5,0.9801307584092888,310.8599937391356,1.5,0.2437294193002248,276.4167808265486,1.0,0.8351183055357406,77.28847704705524,1.5,0.0986037743772394,139.9040991318697,1.5,0.1238392235677178,1.5,1.5,4.5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,21,dikesnet
2136,2136,109,223.70458468504543,1.5,0.5268104858089361,180.34053796252124,10.0,0.632969710020517,270.9188487210933,10.0,0.4384846264725698,246.5680339115808,1.0,0.3193267417282813,304.8324331718113,1.0,0.0140541075303873,2.5,2.5,3.5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,36,21,dikesnet
2144,2144,104,239.95183662185588,1.0,0.3479382860445851,129.34918679501834,1.5,0.6895599699730994,121.85369413612122,10.0,0.3149498024584549,85.26849083752737,1.0,0.2055614582658389,284.0476781997335,1.5,0.0652523763670135,1.5,1.5,4.5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,44,21,dikesnet
2149,2149,16,111.36757532292933,10.0,0.4376552084756751,170.64368235381613,10.0,0.5060301729344391,37.01995865417004,1.5,0.4874733980712616,146.58887475866825,10.0,0.1795183410767715,191.77821468773604,1.0,0.1310476390699853,4.5,4.5,1.5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,49,21,dikesnet
2160,2160,12,147.19689127275782,10.0,0.7054739508709972,340.2239686180633,10.0,0.7714898134707703,312.13011619131555,10.0,0.0494543336733424,176.48631583810638,10.0,0.0703709742316159,324.6792865749088,1.5,0.0258159519480821,2.5,3.5,2.5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,60,21,dikesnet
2172,2172,35,235.2297888300525,10.0,0.6691678438004242,244.71723796042343,1.0,0.7560126609904901,108.0736201100414,1.0,0.6489527744207327,89.3586288268483,10.0,0.3775784563408456,131.4633619153621,10.0,0.2175514649676347,3.5,3.5,3.5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,72,21,dikesnet
2176,2176,45,117.17628391165088,1.0,0.9461477584987544,132.55975353937464,1.5,0.4124806050002195,304.4180949100032,1.5,0.65298964724963,249.03396838145807,1.5,0.4734112947839278,243.54928633232907,1.0,0.0337329082320543,1.5,3.5,2.5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,76,21,dikesnet
2182,2182,73,259.7359376738376,10.0,0.8176652015742627,143.90451493979538,10.0,0.9870545069878206,131.77177252741558,10.0,0.2225826349666239,183.68862697572,1.5,0.1241338654431264,253.66095359604788,1.5,0.0555393800992334,3.5,4.5,1.5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,82,21,dikesnet
2189,2189,110,229.3768594087568,1.0,0.5720042176398842,76.93713626202617,1.5,0.7880282644633927,196.00820996224743,1.0,0.3999996024293774,113.68505467986564,1.0,0.3865216651124148,181.02458483934944,1.5,0.2670772043511434,2.5,3.5,4.5,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,89,21,dikesnet
2215,2215,4,124.8289419384729,1.5,0.9801307584092888,310.8599937391356,1.5,0.2437294193002248,276.4167808265486,1.0,0.8351183055357406,77.28847704705524,1.5,0.0986037743772394,139.9040991318697,1.5,0.1238392235677178,1.5,1.5,4.5,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,15,22,dikesnet
2236,2236,109,223.70458468504543,1.5,0.5268104858089361,180.34053796252124,10.0,0.632969710020517,270.9188487210933,10.0,0.4384846264725698,246.5680339115808,1.0,0.3193267417282813,304.8324331718113,1.0,0.0140541075303873,2.5,2.5,3.5,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,36,22,dikesnet
2244,2244,104,239.95183662185588,1.0,0.3479382860445851,129.34918679501834,1.5,0.6895599699730994,121.85369413612122,10.0,0.3149498024584549,85.26849083752737,1.0,0.2055614582658389,284.0476781997335,1.5,0.0652523763670135,1.5,1.5,4.5,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,44,22,dikesnet
2249,2249,16,111.36757532292933,10.0,0.4376552084756751,170.64368235381613,10.0,0.5060301729344391,37.01995865417004,1.5,0.4874733980712616,146.58887475866825,10.0,0.1795183410767715,191.77821468773604,1.0,0.1310476390699853,4.5,4.5,1.5,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,49,22,dikesnet
2260,2260,12,147.19689127275782,10.0,0.7054739508709972,340.2239686180633,10.0,0.7714898134707703,312.13011619131555,10.0,0.0494543336733424,176.48631583810638,10.0,0.0703709742316159,324.6792865749088,1.5,0.0258159519480821,2.5,3.5,2.5,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,60,22,dikesnet
2272,2272,35,235.2297888300525,10.0,0.6691678438004242,244.71723796042343,1.0,0.7560126609904901,108.0736201100414,1.0,0.6489527744207327,89.3586288268483,10.0,0.3775784563408456,131.4633619153621,10.0,0.2175514649676347,3.5,3.5,3.5,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,72,22,dikesnet
2276,2276,45,117.17628391165088,1.0,0.9461477584987544,132.55975353937464,1.5,0.4124806050002195,304.4180949100032,1.5,0.65298964724963,249.03396838145807,1.5,0.4734112947839278,243.54928633232907,1.0,0.0337329082320543,1.5,3.5,2.5,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,76,22,dikesnet
2282,2282,73,259.7359376738376,10.0,0.8176652015742627,143.90451493979538,10.0,0.9870545069878206,131.77177252741558,10.0,0.2225826349666239,183.68862697572,1.5,0.1241338654431264,253.66095359604788,1.5,0.0555393800992334,3.5,4.5,1.5,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,82,22,dikesnet
2289,2289,110,229.3768594087568,1.0,0.5720042176398842,76.93713626202617,1.5,0.7880282644633927,196.00820996224743,1.0,0.3999996024293774,113.68505467986564,1.0,0.3865216651124148,181.02458483934944,1.5,0.2670772043511434,2.5,3.5,4.5,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,89,22,dikesnet
2315,2315,4,124.8289419384729,1.5,0.9801307584092888,310.8599937391356,1.5,0.2437294193002248,276.4167808265486,1.0,0.8351183055357406,77.28847704705524,1.5,0.0986037743772394,139.9040991318697,1.5,0.1238392235677178,1.5,1.5,4.5,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,15,23,dikesnet
2336,2336,109,223.70458468504543,1.5,0.5268104858089361,180.34053796252124,10.0,0.632969710020517,270.9188487210933,10.0,0.4384846264725698,246.5680339115808,1.0,0.3193267417282813,304.8324331718113,1.0,0.0140541075303873,2.5,2.5,3.5,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,36,23,dikesnet
2344,2344,104,239.95183662185588,1.0,0.3479382860445851,129.34918679501834,1.5,0.6895599699730994,121.85369413612122,10.0,0.3149498024584549,85.26849083752737,1.0,0.2055614582658389,284.0476781997335,1.5,0.0652523763670135,1.5,1.5,4.5,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,44,23,dikesnet
2349,2349,16,111.36757532292933,10.0,0.4376552084756751,170.64368235381613,10.0,0.5060301729344391,37.01995865417004,1.5,0.4874733980712616,146.58887475866825,10.0,0.1795183410767715,191.77821468773604,1.0,0.1310476390699853,4.5,4.5,1.5,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,49,23,dikesnet
2360,2360,12,147.19689127275782,10.0,0.7054739508709972,340.2239686180633,10.0,0.7714898134707703,312.13011619131555,10.0,0.0494543336733424,176.48631583810638,10.0,0.0703709742316159,324.6792865749088,1.5,0.0258159519480821,2.5,3.5,2.5,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,60,23,dikesnet
